Linux 4.13.16-041316-generic (pl1) 	12/14/2017 	_x86_64_	(24 CPU)

03:34:51 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:34:52 PM     0       556    0.00    0.98    0.00    0.98    10  kworker/10:2
03:34:52 PM  1001      2678    0.98    0.00    0.00    0.98    21  tmux
03:34:52 PM  1001      7439    0.98    0.98    0.00    1.96    10  pidstat

03:34:52 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:34:53 PM     0       176    0.00    1.00    0.00    1.00    11  kworker/11:1
03:34:53 PM     0       792    0.00    1.00    0.00    1.00    21  kworker/21:2
03:34:53 PM 64045      1600    0.00    1.00    0.00    1.00    21  ceph-mon
03:34:53 PM  1001      2678    1.00    0.00    0.00    1.00    21  tmux
03:34:53 PM  1001      2680    0.00    2.00    0.00    2.00     8  bash
03:34:53 PM     0      2890    0.00    1.00    0.00    1.00     8  kworker/8:0
03:34:53 PM  1001      5974    1.00    0.00    0.00    1.00     9  vim
03:34:53 PM  1001      7439    0.00    1.00    0.00    1.00    10  pidstat
03:34:53 PM     0      7443    1.00    9.00    0.00   10.00     0  fio

03:34:53 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:34:54 PM     0        24    0.00    1.00    0.00    1.00     2  kworker/2:0
03:34:54 PM     0        25    0.00    3.00    0.00    3.00     2  kworker/2:0H
03:34:54 PM     0        30    0.00    1.00    0.00    1.00     3  kworker/3:0
03:34:54 PM     0       115    0.00    1.00    0.00    1.00    17  kworker/17:0
03:34:54 PM     0       156    0.00    1.00    0.00    1.00     7  kworker/7:1
03:34:54 PM     0       176    0.00    1.00    0.00    1.00    11  kworker/11:1
03:34:54 PM     0       224    0.00    2.00    0.00    2.00     0  kworker/0:1
03:34:54 PM     0       556    0.00    1.00    0.00    1.00    10  kworker/10:2
03:34:54 PM     0       559    0.00    2.00    0.00    2.00    23  kworker/23:2
03:34:54 PM     0       792    0.00    1.00    0.00    1.00    21  kworker/21:2
03:34:54 PM     0      1687    1.00    0.00    0.00    1.00    18  dockerd
03:34:54 PM     0      1728    0.00    1.00    0.00    1.00     6  kworker/6:2
03:34:54 PM     0      2182    0.00    3.00    0.00    3.00     3  kworker/3:1H
03:34:54 PM     0      3004    0.00    1.00    0.00    1.00     9  kworker/9:1
03:34:54 PM     0      3257    0.00    1.00    0.00    1.00    18  kworker/18:1
03:34:54 PM  1001      7439    1.00    1.00    0.00    2.00    10  pidstat
03:34:54 PM     0      7443  169.00  117.00    0.00  286.00     0  fio

03:34:54 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:34:55 PM     0        25    0.00    6.00    0.00    6.00     2  kworker/2:0H
03:34:55 PM     0       224    0.00    2.00    0.00    2.00     0  kworker/0:1
03:34:55 PM     0      2182    0.00    6.00    0.00    6.00     3  kworker/3:1H
03:34:55 PM     0      6926    0.00    1.00    0.00    1.00     6  kworker/u130:0
03:34:55 PM  1001      7439    1.00    0.00    0.00    1.00    10  pidstat
03:34:55 PM     0      7443   82.00  196.00    0.00  278.00     0  fio

03:34:55 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:34:56 PM     0        25    0.00    6.00    0.00    6.00     2  kworker/2:0H
03:34:56 PM     0       224    0.00    2.00    0.00    2.00     0  kworker/0:1
03:34:56 PM     0      2182    0.00    6.00    0.00    6.00     3  kworker/3:1H
03:34:56 PM  1001      2678    1.00    0.00    0.00    1.00    21  tmux
03:34:56 PM  1001      7439    1.00    0.00    0.00    1.00    10  pidstat
03:34:56 PM     0      7443   89.00  187.00    0.00  276.00     0  fio

03:34:56 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:34:57 PM     0        18    0.00    1.00    0.00    1.00     1  kworker/1:0
03:34:57 PM     0        25    0.00    6.00    0.00    6.00     2  kworker/2:0H
03:34:57 PM     0        30    0.00    1.00    0.00    1.00     3  kworker/3:0
03:34:57 PM     0       133    0.00    1.00    0.00    1.00    20  kworker/20:0
03:34:57 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
03:34:57 PM     0       556    0.00    1.00    0.00    1.00    10  kworker/10:2
03:34:57 PM     0       792    0.00    1.00    0.00    1.00    21  kworker/21:2
03:34:57 PM 64045      1600    1.00    0.00    0.00    1.00    21  ceph-mon
03:34:57 PM     0      2180    0.00    1.00    0.00    1.00     1  kworker/1:1H
03:34:57 PM     0      2182    0.00    4.00    0.00    4.00     3  kworker/3:1H
03:34:57 PM     0      3004    0.00    1.00    0.00    1.00     9  kworker/9:1
03:34:57 PM  1001      5974    1.00    0.00    0.00    1.00     9  vim
03:34:57 PM  1001      7437    1.00    0.00    0.00    1.00     9  mpstat
03:34:57 PM  1001      7439    2.00    0.00    0.00    2.00    10  pidstat
03:34:57 PM     0      7443   80.00  199.00    0.00  279.00     3  fio

03:34:57 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:34:58 PM     0        24    0.00    1.00    0.00    1.00     2  kworker/2:0
03:34:58 PM     0        25    0.00    4.00    0.00    4.00     2  kworker/2:0H
03:34:58 PM     0        30    0.00    2.00    0.00    2.00     3  kworker/3:0
03:34:58 PM     0       133    0.00    2.00    0.00    2.00    20  kworker/20:0
03:34:58 PM     0       556    0.00    3.00    0.00    3.00    10  kworker/10:2
03:34:58 PM     0       792    0.00    2.00    0.00    2.00    21  kworker/21:2
03:34:58 PM     0      2180    0.00    5.00    0.00    5.00     1  kworker/1:1H
03:34:58 PM     0      3004    0.00    2.00    0.00    2.00     9  kworker/9:1
03:34:58 PM  1001      7439    1.00    1.00    0.00    2.00    10  pidstat
03:34:58 PM     0      7443   86.00  199.00    0.00  285.00     3  fio

03:34:58 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:34:59 PM     0        25    0.00    3.00    0.00    3.00     2  kworker/2:0H
03:34:59 PM     0        30    0.00    1.00    0.00    1.00     3  kworker/3:0
03:34:59 PM     0       133    0.00    1.00    0.00    1.00    20  kworker/20:0
03:34:59 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
03:34:59 PM     0       556    0.00    2.00    0.00    2.00    10  kworker/10:2
03:34:59 PM     0       559    0.00    1.00    0.00    1.00    23  kworker/23:2
03:34:59 PM     0       792    0.00    2.00    0.00    2.00    21  kworker/21:2
03:34:59 PM 64045      1600    3.00    2.00    0.00    5.00    21  ceph-mon
03:34:59 PM     0      1728    0.00    1.00    0.00    1.00     6  kworker/6:2
03:34:59 PM     0      2180    0.00    2.00    0.00    2.00     1  kworker/1:1H
03:34:59 PM     0      3004    0.00    1.00    0.00    1.00     9  kworker/9:1
03:34:59 PM  1001      7439    1.00    0.00    0.00    1.00    10  pidstat

03:34:59 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:35:00 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
03:35:00 PM  1001      2678    1.00    0.00    0.00    1.00    21  tmux
03:35:00 PM  1001      7438    0.00    1.00    0.00    1.00    10  tee
03:35:00 PM  1001      7439    0.00    1.00    0.00    1.00    10  pidstat

03:35:00 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:35:01 PM     0       238    0.00    1.00    0.00    1.00    15  kworker/15:1
03:35:01 PM 64045      1600    1.00    0.00    0.00    1.00    21  ceph-mon
03:35:01 PM 64045      1629    1.00    0.00    0.00    1.00    21  ceph-mgr
03:35:01 PM     0      1687    0.00    1.00    0.00    1.00    18  dockerd
03:35:01 PM  1001      2678    0.00    1.00    0.00    1.00    21  tmux
03:35:01 PM  1001      5974    1.00    0.00    0.00    1.00     9  vim
03:35:01 PM  1001      7439    1.00    1.00    0.00    2.00    10  pidstat

