Linux 4.13.16-041316-generic (pl1) 	12/14/2017 	_x86_64_	(24 CPU)

02:29:32 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:29:33 PM 64045      1629    0.98    0.00    0.00    0.98    21  ceph-mgr
02:29:33 PM  1001      2567    0.00    0.98    0.00    0.98     8  sshd
02:29:33 PM  1001      2678    0.98    0.00    0.00    0.98    10  tmux
02:29:33 PM     0      2890    0.00    0.98    0.00    0.98     8  kworker/8:0
02:29:33 PM  1001      6731    0.00    0.98    0.00    0.98     6  pidstat

02:29:33 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:29:34 PM     0       556    0.00    1.00    0.00    1.00    10  kworker/10:2
02:29:34 PM  1001      2678    0.00    1.00    0.00    1.00    10  tmux
02:29:34 PM  1001      5974    1.00    0.00    0.00    1.00    11  vim
02:29:34 PM  1001      6731    1.00    1.00    0.00    2.00     6  pidstat

02:29:34 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:29:35 PM     0         9    0.00    1.00    0.00    1.00     0  rcu_sched
02:29:35 PM     0        18    0.00    1.00    0.00    1.00     1  kworker/1:0
02:29:35 PM     0        24    0.00    1.00    0.00    1.00     2  kworker/2:0
02:29:35 PM     0        30    0.00    1.00    0.00    1.00     3  kworker/3:0
02:29:35 PM     0        36    0.00    1.00    0.00    1.00     4  kworker/4:0
02:29:35 PM     0       156    0.00    1.00    0.00    1.00     7  kworker/7:1
02:29:35 PM     0       224    0.00    2.00    0.00    2.00     0  kworker/0:1
02:29:35 PM     0       226    0.00    1.00    0.00    1.00    12  kworker/12:1
02:29:35 PM     0       559    0.00    1.00    0.00    1.00    23  kworker/23:2
02:29:35 PM     0       749    0.00    2.00    0.00    2.00    22  kworker/22:2
02:29:35 PM     0       792    0.00    1.00    0.00    1.00    21  kworker/21:2
02:29:35 PM     0      2106    1.00    0.00    0.00    1.00    23  containerd
02:29:35 PM  1001      2680    0.00    2.00    0.00    2.00     9  bash
02:29:35 PM     0      2890    0.00    1.00    0.00    1.00     8  kworker/8:0
02:29:35 PM  1001      6731    0.00    1.00    0.00    1.00     6  pidstat
02:29:35 PM     0      6733    0.00    1.00    0.00    1.00    19  sudo
02:29:35 PM     0      6735  128.00   89.00    0.00  217.00     1  fio

02:29:35 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:29:36 PM     0        18    0.00    2.00    0.00    2.00     1  kworker/1:0
02:29:36 PM     0        24    0.00    2.00    0.00    2.00     2  kworker/2:0
02:29:36 PM     0        30    0.00    1.00    0.00    1.00     3  kworker/3:0
02:29:36 PM     0        36    0.00    1.00    0.00    1.00     4  kworker/4:0
02:29:36 PM     0        42    0.00    3.00    0.00    3.00     5  kworker/5:0
02:29:36 PM     0        91    0.00    3.00    0.00    3.00    13  kworker/13:0
02:29:36 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
02:29:36 PM     0       226    0.00    2.00    0.00    2.00    12  kworker/12:1
02:29:36 PM     0      1687    0.00    1.00    0.00    1.00    11  dockerd
02:29:36 PM  1001      2678    1.00    0.00    0.00    1.00    22  tmux
02:29:36 PM  1001      6731    2.00    0.00    0.00    2.00     6  pidstat
