Linux 4.13.16-041316-generic (pl1) 	12/14/2017 	_x86_64_	(24 CPU)

03:25:46 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:25:47 PM     0       224    0.00    0.98    0.00    0.98     0  kworker/0:1
03:25:47 PM     0      1728    0.00    0.98    0.00    0.98     6  kworker/6:2
03:25:47 PM  1001      2678    0.98    0.00    0.00    0.98    10  tmux
03:25:47 PM  1001      6954    0.98    0.00    0.00    0.98     9  pidstat

03:25:47 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:25:48 PM     0      1687    0.00    1.00    0.00    1.00    18  dockerd
03:25:48 PM  1001      6954    1.00    1.00    0.00    2.00     9  pidstat

03:25:48 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:25:49 PM     0       556    0.00    1.00    0.00    1.00    10  kworker/10:2
03:25:49 PM 64045      1600    1.00    0.00    0.00    1.00    21  ceph-mon
03:25:49 PM 64045      1629    1.00    0.00    0.00    1.00    21  ceph-mgr
03:25:49 PM  1001      2678    1.00    1.00    0.00    2.00    10  tmux
03:25:49 PM     0      3004    0.00    1.00    0.00    1.00     9  kworker/9:1
03:25:49 PM  1001      5974    1.00    1.00    0.00    2.00    18  vim
03:25:49 PM  1001      6954    1.00    0.00    0.00    1.00     9  pidstat

03:25:49 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:25:50 PM     0      2106    0.00    1.00    0.00    1.00    23  containerd
03:25:50 PM     0      3257    0.00    1.00    0.00    1.00    18  kworker/18:1
03:25:50 PM  1001      6952    0.00    1.00    0.00    1.00     6  mpstat
03:25:50 PM  1001      6954    0.00    1.00    0.00    1.00     9  pidstat

03:25:50 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:25:51 PM     0       127    0.00    1.00    0.00    1.00    19  kworker/19:0
03:25:51 PM     0       133    0.00    1.00    0.00    1.00    20  kworker/20:0
03:25:51 PM     0       156    0.00    1.00    0.00    1.00     7  kworker/7:1
03:25:51 PM     0       176    0.00    2.00    0.00    2.00    11  kworker/11:1
03:25:51 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
03:25:51 PM     0       556    0.00    1.00    0.00    1.00    10  kworker/10:2
03:25:51 PM     0      1728    0.00    1.00    0.00    1.00     6  kworker/6:2
03:25:51 PM  1001      2680    0.00    2.00    0.00    2.00     9  bash
03:25:51 PM     0      2890    0.00    2.00    0.00    2.00     8  kworker/8:0
03:25:51 PM     0      3257    0.00    1.00    0.00    1.00    18  kworker/18:1
03:25:51 PM  1001      6954    0.00    2.00    0.00    2.00     9  pidstat
03:25:51 PM     0      6956    0.00    1.00    0.00    1.00    11  sudo
03:25:51 PM     0      6958   95.00   31.00    0.00  126.00    17  fio

03:25:51 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:25:52 PM     0        18    0.00    2.00    0.00    2.00     1  kworker/1:0
03:25:52 PM     0        24    0.00    2.00    0.00    2.00     2  kworker/2:0
03:25:52 PM     0        30    0.00    3.00    0.00    3.00     3  kworker/3:0
03:25:52 PM     0        36    0.00    2.00    0.00    2.00     4  kworker/4:0
03:25:52 PM     0        42    0.00    2.00    0.00    2.00     5  kworker/5:0
03:25:52 PM     0        91    0.00    3.00    0.00    3.00    13  kworker/13:0
03:25:52 PM     0       115    0.00    2.00    0.00    2.00    17  kworker/17:0
03:25:52 PM     0       224    0.00    2.00    0.00    2.00     0  kworker/0:1
03:25:52 PM     0       226    0.00    2.00    0.00    2.00    12  kworker/12:1
03:25:52 PM     0       559    0.00    1.00    0.00    1.00    23  kworker/23:2
03:25:52 PM     0      2890    0.00    1.00    0.00    1.00     8  kworker/8:0
03:25:52 PM  1001      6954    1.00    0.00    0.00    1.00     9  pidstat
03:25:52 PM     0      6958  141.00  240.00    0.00  381.00    17  fio

03:25:52 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:25:53 PM     0         9    0.00    1.00    0.00    1.00     0  rcu_sched
03:25:53 PM     0        18    0.00    2.00    0.00    2.00     1  kworker/1:0
03:25:53 PM     0        24    0.00    2.00    0.00    2.00     2  kworker/2:0
03:25:53 PM     0        30    0.00    2.00    0.00    2.00     3  kworker/3:0
03:25:53 PM     0        36    0.00    2.00    0.00    2.00     4  kworker/4:0
03:25:53 PM     0        42    0.00    3.00    0.00    3.00     5  kworker/5:0
03:25:53 PM     0        91    0.00    2.00    0.00    2.00    13  kworker/13:0
03:25:53 PM     0       115    0.00    2.00    0.00    2.00    17  kworker/17:0
03:25:53 PM     0       224    0.00    2.00    0.00    2.00     0  kworker/0:1
03:25:53 PM     0       226    0.00    2.00    0.00    2.00    12  kworker/12:1
03:25:53 PM  1001      2678    1.00    0.00    0.00    1.00    10  tmux
03:25:53 PM     0      3004    0.00    1.00    0.00    1.00     9  kworker/9:1
03:25:53 PM  1001      5974    2.00    0.00    0.00    2.00    18  vim
03:25:53 PM  1001      6954    2.00    1.00    0.00    3.00     9  pidstat
03:25:53 PM     0      6958  163.00  282.00    0.00  445.00    17  fio

03:25:53 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:25:54 PM     0        18    0.00    2.00    0.00    2.00     1  kworker/1:0
03:25:54 PM     0        24    0.00    3.00    0.00    3.00     2  kworker/2:0
03:25:54 PM     0        30    0.00    2.00    0.00    2.00     3  kworker/3:0
03:25:54 PM     0        36    0.00    2.00    0.00    2.00     4  kworker/4:0
03:25:54 PM     0        42    0.00    2.00    0.00    2.00     5  kworker/5:0
03:25:54 PM     0        91    0.00    3.00    0.00    3.00    13  kworker/13:0
03:25:54 PM     0        97    0.00    1.00    0.00    1.00    14  kworker/14:0
03:25:54 PM     0       115    0.00    2.00    0.00    2.00    17  kworker/17:0
03:25:54 PM     0       224    0.00    2.00    0.00    2.00     0  kworker/0:1
03:25:54 PM     0       226    0.00    3.00    0.00    3.00    12  kworker/12:1
03:25:54 PM     0      3257    0.00    1.00    0.00    1.00    18  kworker/18:1
03:25:54 PM  1001      6954    1.00    0.00    0.00    1.00     9  pidstat
03:25:54 PM     0      6958  164.00  310.00    0.00  474.00    17  fio

03:25:54 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:25:55 PM     0        18    0.00    3.00    0.00    3.00     1  kworker/1:0
03:25:55 PM     0        24    0.00    2.00    0.00    2.00     2  kworker/2:0
03:25:55 PM     0        30    0.00    3.00    0.00    3.00     3  kworker/3:0
03:25:55 PM     0        36    0.00    3.00    0.00    3.00     4  kworker/4:0
03:25:55 PM     0        42    0.00    2.00    0.00    2.00     5  kworker/5:0
03:25:55 PM     0        91    0.00    2.00    0.00    2.00    13  kworker/13:0
03:25:55 PM     0       115    0.00    2.00    0.00    2.00    17  kworker/17:0
03:25:55 PM     0       224    0.00    3.00    0.00    3.00     0  kworker/0:1
03:25:55 PM     0       226    0.00    3.00    0.00    3.00    12  kworker/12:1
03:25:55 PM     0       556    0.00    1.00    0.00    1.00    10  kworker/10:2
03:25:55 PM     0      1687    4.00    3.00    0.00    7.00    18  dockerd
03:25:55 PM  1001      6954    1.00    0.00    0.00    1.00     9  pidstat
03:25:55 PM     0      6958  167.00  306.00    0.00  473.00    17  fio

03:25:55 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:25:56 PM     0        18    0.00    2.00    0.00    2.00     1  kworker/1:0
03:25:56 PM     0        24    0.00    3.00    0.00    3.00     2  kworker/2:0
03:25:56 PM     0        30    0.00    2.00    0.00    2.00     3  kworker/3:0
03:25:56 PM     0        36    0.00    2.00    0.00    2.00     4  kworker/4:0
03:25:56 PM     0        42    0.00    2.00    0.00    2.00     5  kworker/5:0
03:25:56 PM     0        91    0.00    3.00    0.00    3.00    13  kworker/13:0
03:25:56 PM     0       115    0.00    2.00    0.00    2.00    17  kworker/17:0
03:25:56 PM     0       224    0.00    2.00    0.00    2.00     0  kworker/0:1
03:25:56 PM     0       226    0.00    2.00    0.00    2.00    12  kworker/12:1
03:25:56 PM     0      1687    0.00    1.00    0.00    1.00    18  dockerd
03:25:56 PM  1001      6954    0.00    1.00    0.00    1.00     9  pidstat
03:25:56 PM     0      6958  159.00  306.00    0.00  465.00    17  fio

03:25:56 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:25:57 PM     0       115    0.00    1.00    0.00    1.00    17  kworker/17:0
